GEO_ID,NAME,S2301_C04_001E
0500000US35001,"Bernalillo",5.6
0500000US35003,"Catron",5.3
0500000US35005,"Chaves",5.2
0500000US35006,"Cibola",11.6
0500000US35007,"Colfax",4.7
0500000US35009,"Curry",7.9
0500000US35011,"De Baca",9.8
0500000US35013,"Doña Ana",7.7
0500000US35015,"Eddy",4.3
0500000US35017,"Grant",8
0500000US35019,"Guadalupe",6.7
0500000US35021,"Harding",3.3
0500000US35023,"Hidalgo",7.3
0500000US35025,"Lea",6.9
0500000US35027,"Lincoln",5.1
0500000US35028,"Los Alamos",3.5
0500000US35029,"Luna",9.5
0500000US35031,"McKinley",12.4
0500000US35033,"Mora",9.3
0500000US35035,"Otero",9.1
0500000US35037,"Quay",2.5
0500000US35039,"Rio Arriba",7
0500000US35041,"Roosevelt",8.6
0500000US35043,"Sandoval",6.6
0500000US35045,"San Juan",8.2
0500000US35047,"San Miguel",5.7
0500000US35049,"Santa Fe",4.9
0500000US35051,"Sierra",7.8
0500000US35053,"Socorro",4.7
0500000US35055,"Taos",8.2
0500000US35057,"Torrance",9.1
0500000US35059,"Union",3.4
0500000US35061,"Valencia",7.7
